pcd	WGS84long	WGS84lat
CM07AA	0.828747	51.6623
CM07AB	0.828855	51.6636
CM07AD	0.829635	51.6652
CM07AE	0.830581	51.6641
CM07AF	0.831138	51.6657
CM07AG	0.831405	51.6709
CM07AH	0.826767	51.6642
CM07AJ	0.827905	51.6648
CM07AL	0.823325	51.664
CM07AN	0.822044	51.6638
CM07AP	0.819632	51.6641
CM07AQ	0.826907	51.6634
CM07AS	0.820192	51.6641
CM07AT	0.881538	51.6925
CM07AU	0.826843	51.6629
CM07AW	0.821219	51.6638
CM07AX	0.829362	51.6624
CM07AY	0.826895	51.6628
CM07AZ	0.82556	51.662
CM07BA	0.823767	51.663
CM07BB	0.820173	51.6633
CM07BD	0.817418	51.666
CM07BE	0.802333	51.6629
CM07BF	0.823176	51.6637
CM07BG	0.80966	51.6635
CM07BH	0.824131	51.6511
CM07BJ	0.826417	51.6565
CM07BL	0.821622	51.6536
CM07BN	0.810063	51.6544
CM07BP	0.81002	51.6567
CM07BQ	0.824512	51.6538
CM07BS	0.805885	51.656
CM07BT	0.811181	51.6554
CM07BU	0.808997	51.6561
CM07BW	0.804112	51.6559
CM07BX	0.80801	51.6572
CM07BY	0.828781	51.6619
CM07BZ	0.829033	51.6623
CM07DA	0.836805	51.6603
CM07DB	0.829675	51.6619
CM07DD	0.829675	51.6619
CM07DE	0.829923	51.6624
CM07DF	0.830843	51.663
CM07DG	0.831724	51.6642
CM07DH	0.832587	51.6627
CM07DJ	0.834385	51.6635
CM07DL	0.835851	51.664
CM07DN	0.833826	51.6649
CM07DP	0.846349	51.6667
CM07DQ	0.832413	51.6636
CM07DR	0.843754	51.6671
CM07DS	0.840955	51.6658
CM07DT	0.843934	51.6702
CM07DU	0.840392	51.6762
CM07DW	0.836413	51.6656
CM07DX	0.849082	51.6741
CM07DY	0.847949	51.6752
CM07DZ	0.850264	51.6768
CM07EA	0.852992	51.6765
CM07EB	0.833219	51.6628
CM07ED	0.833347	51.6654
CM07EE	0.833749	51.6623
CM07EF	0.83415	51.6602
CM07EG	0.83466	51.6611
CM07EH	0.837043	51.6609
CM07EJ	0.826475	51.6611
CM07EL	0.827481	51.6622
CM07EN	0.83536	51.6605
CM07EP	0.829538	51.6618
CM07EQ	0.835834	51.6614
CM07ER	0.825315	51.6609
CM07ES	0.82802	51.6597
CM07ET	0.8288	51.6611
